id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00832_c0	=	Cytosol_0	(118559_gene or 118559_gene)	IMP 1,2-hydrolase (decyclizing)_c0	3.5.4.10	-2.58		(1)  cpd02884[c0] <=> (1)  cpd00001[c0] + (1)  cpd00114[c0]	(1)  FAICAR[c0] <=> (1)  H2O[c0] + (1)  IMP[c0]	rxn00832	ADE16_2	R01127	Purine metabolism	Biosynthesis|DENOVOPURINE2-PWY|IMP-Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
rxn04938_c0	=	Cytosol_0	(114889_gene)	S-(hydroxymethyl)glutathione:NADP+ oxidoreductase_c0		-6.08		(1)  cpd00006[c0] + (1)  cpd09879[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00759[c0]	(1)  NADP[c0] + (1)  S-(Hydroxymethyl) glutathione[c0] <=> (1)  NADPH[c0] + (1)  H+[c0] + (1)  S-Formylglutathione[c0]	rxn04938		R07140		C1-COMPOUNDS|Degradation|Formaldehyde-Oxidation
rxn01275_c0	=	Cytosol_0	(126864_gene)	ATP:D-Gluconate 6-phosphotransferase_c0	2.7.1.12	-14.03		(1)  cpd00002[c0] + (1)  cpd00222[c0] <=> (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00284[c0]	(1)  ATP[c0] + (1)  GLCN[c0] <=> (1)  ADP[c0] + (1)  H+[c0] + (1)  6-Phospho-D-gluconate[c0]	rxn01275	GNK	R01737	Pentose phosphate pathway	Biosynthesis|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|Carbohydrates-Biosynthesis|Degradation|GLUCONSUPER-PWY|IDNCAT-PWY|KETOGLUCONMET-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|Sorbitol-Biosynthesis|Sugar-Alcohols-Biosynthesis|Sugar-Derivatives
R-r1035_m0	=	m_0	47049_gene	CustomReaction_m0				(1)  cpd00266[m0] + (1)  cpd01260[m0] <=> (1)  M-c120car-m_m0[m0] + (1)  cpd00010[m0]	(1)  Carnitine[m0] + (1)  Lauroyl-CoA[m0] <=> (1)  dodecanoyl-carnitine[m0] + (1)  CoA[m0]	rxn00000				
rxn00873_c0	=	Cytosol_0	(85519_gene)	Butanoate:CoA ligase (AMP-forming)_c0		-21.55		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00211[c0] <=> (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd00067[c0] + (1)  cpd00120[c0]	(1)  ATP[c0] + (1)  CoA[c0] + (1)  Butyrate[c0] <=> (1)  PPi[c0] + (1)  AMP[c0] + (1)  H+[c0] + (1)  Butyryl-CoA[c0]	rxn00873		R01176	Butanoate metabolism	
rxn02229_c0	=	Cytosol_0	(40391_gene)	3-Mercaptopyruvate:cyanide sulfurtransferase_c0		-1.08		(1)  cpd00081[c0] + (1)  cpd00706[c0] <=> (1)  cpd00020[c0] + (1)  cpd00268[c0]	(1)  Sulfite[c0] + (1)  Mercaptopyruvate[c0] <=> (1)  Pyruvate[c0] + (1)  H2S2O3[c0]	rxn02229		R03105	Cysteine and methionine metabolism	
R-r1039_m0	=	m_0	47049_gene	CustomReaction_m0				(1)  M-c162coa-m_m0[m0] + (1)  cpd00266[m0] <=> (1)  M-c162car-m_m0[m0] + (1)  cpd00010[m0]	(1)  hexadecadienoyl-CoA[m0] + (1)  Carnitine[m0] <=> (1)  hexadecadienoyl-carnitine[m0] + (1)  CoA[m0]	rxn00000				
rxn01255_c0	=	Cytosol_0	(104507_gene)	5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)_c0		-3.89		(1)  cpd00932[c0] <=> (1)  cpd00009[c0] + (1)  cpd00216[c0]	(1)  5-O--1-Carboxyvinyl-3-phosphoshikimate[c0] <=> (1)  Phosphate[c0] + (1)  Chorismate[c0]	rxn01255	ARO2	R01714	Phenylalanine, tyrosine and tryptophan biosynthesis	ALL-CHORISMATE-PWY|ARO-PWY|AROMATIC-COMPOUNDS-BIOSYN|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|Chorismate-Biosynthesis
rxn00236_c0	=	Cytosol_0	(88464_gene)	GDP phosphohydrolase_c0	3.6.1.42	-16.35		(1)  cpd00001[c0] + (1)  cpd00031[c0] <=> (1)  cpd00009[c0] + (2)  cpd00067[c0] + (1)  cpd00126[c0]	(1)  H2O[c0] + (1)  GDP[c0] <=> (1)  Phosphate[c0] + (2)  H+[c0] + (1)  GMP[c0]	rxn00236	NDP3	R00328	Purine metabolism	
rxn00002_c0	=	Cytosol_0	(55899_gene)	urea-1-carboxylate amidohydrolase_c0	3.5.1.54	-9.62		(1)  cpd00001[c0] + (3)  cpd00067[c0] + (1)  cpd00742[c0] <=> (2)  cpd00011[c0] + (2)  cpd00013[c0]	(1)  H2O[c0] + (3)  H+[c0] + (1)  Allophanate[c0] <=> (2)  CO2[c0] + (2)  NH3[c0]	rxn00002	DUR1_2	R00005	Arginine and proline metabolism|Atrazine degradation	ALLANTOINDEG-PWY|AMINE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Allantoin-degradation|Atrazine-Degradation|Degradation|Urea-Degradation|s-Triazine-Degradation
