id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd00242_e0	H2CO3	CHO3	1	BVKZGUZCCUSVTD-UHFFFAOYSA-M	O=C([O-])O	-140.26	C00288	cpd00242
cpd15283_c0	Phytosphingosine 1-phosphate	C18H40NO6P	1			-308.98		cpd15283
cpd00780_c0	Fumarylacetoacetate	C8H6O6	1	GACSIVHAIFQKTC-OWOJBTEDSA-L	O=C([O-])C=CC(=O)CC(=O)CC(=O)[O-]	-197.26	C01061	cpd00780
cpd00242_c0	H2CO3	CHO3	1	BVKZGUZCCUSVTD-UHFFFAOYSA-M	O=C([O-])O	-140.26	C00288	cpd00242
cpd11480_c0	D-3-Hydroxydodecanoyl-[acp]	C12H23O2RS	1				C05757	cpd11480
M-c140car-c_c0	myristoyl-carnitine	*	1					cpd00000
cpd02016_c0	N-Ribosylnicotinamide	C11H15N2O5	1	JLEBZPBDRKPWTD-TURQNECASA-O	N=C(O)c1ccc[n+](C2OC(CO)C(O)C2O)c1	-125.24	C03150	cpd02016
cpd02483_m0	cis-Homoaconitate	C7H5O6	1	BJYPZFUWWJSAKC-ARJAWSKDSA-K	O=C([O-])C=C(CCC(=O)[O-])C(=O)[O-]	-220.66	C04002	cpd02483
cpd00722_c0	O-Acetyl-L-serine	C5H9NO4	1	VZXPDPZARILFQX-BYPYZUCNSA-N	CC(=O)OCC(N)C(=O)O	-161.6	C00979	cpd00722
cpd00134_c0	Palmitoyl-CoA	C37H63N7O17P3S	1	MNBKLUUYKPBKDU-BBECNAHFSA-J	CCCCCCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-763.15	C00154	cpd00134
cpd00242_m0	H2CO3	CHO3	1	BVKZGUZCCUSVTD-UHFFFAOYSA-M	O=C([O-])O	-140.26	C00288	cpd00242
cpd13384_c0	1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate	C11H16O19P3R2	1				C11556	cpd13384
cpd12115_e0	Arabinan	C15H24O122	1				C02474	cpd12115
cpd00251_c0	ADPribose	C15H21N5O14P2	1	SRNWOUGRCWSEMX-TYASJMOZSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OCC2OC(O)C(O)C2O)C(O)C1O	-585.97	C00301	cpd00251
cpd00053_c0	L-Glutamine	C5H10N2O3	1	ZDXPYRJPNDTMRX-VKHMYHEASA-N	N=C(O)CCC(N)C(=O)O	-121.69	C00064	cpd00053
